title,price,release,link
Fallout 3: Game of the Year Edition,$12.99,"17 Dec, 2009",https://store.steampowered.com/app/22370/Fallout_3_Game_of_the_Year_Edition/?snr=1_7_7_151_150_8
Phantasy Star Online 2 New Genesis,Free To Play,"5 Aug, 2020",https://store.steampowered.com/app/1056640/Phantasy_Star_Online_2_New_Genesis/?snr=1_7_7_151_150_8
Layers of Fear,none,"15 Jun, 2023",https://store.steampowered.com/app/1946700/Layers_of_Fear/?snr=1_7_7_151_150_8
Arma 3,$29.99,"12 Sep, 2013",https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_151_150_8
Starfield,none,"6 Sep, 2023",https://store.steampowered.com/app/1716740/Starfield/?snr=1_7_7_151_150_8
The Elder Scrolls IV: Oblivion® Game of the Year Edition,$14.99,"16 Jun, 2009",https://store.steampowered.com/app/22330/The_Elder_Scrolls_IV_Oblivion_Game_of_the_Year_Edition/?snr=1_7_7_151_150_8
Far Cry® 6,$32.99,"11 May, 2023",https://store.steampowered.com/app/2369390/Far_Cry_6/?snr=1_7_7_151_150_8
EVE Online,Free To Play,"15 Dec, 2010",https://store.steampowered.com/app/8500/EVE_Online/?snr=1_7_7_151_150_8
Graveyard Keeper,discount from $10.49 to $3.67 (65%),"15 Aug, 2018",https://store.steampowered.com/app/599140/Graveyard_Keeper/?snr=1_7_7_151_150_8
HITMAN 3  VR Supported,$31.99,"20 Jan, 2022",https://store.steampowered.com/app/1659040/HITMAN_3/?snr=1_7_7_151_150_8
For The King,discount from $10.49 to $2.62 (75%),"19 Apr, 2018",https://store.steampowered.com/app/527230/For_The_King/?snr=1_7_7_151_150_8
GWENT: The Witcher Card Game,Free To Play,"19 May, 2020",https://store.steampowered.com/app/1284410/GWENT_The_Witcher_Card_Game/?snr=1_7_7_151_150_8
Tap Ninja - Idle game,Free To Play,"17 Mar, 2022",https://store.steampowered.com/app/1891700/Tap_Ninja__Idle_game/?snr=1_7_7_151_150_8
Space Engineers,$19.99,"28 Feb, 2019",https://store.steampowered.com/app/244850/Space_Engineers/?snr=1_7_7_151_150_9
Plants vs. Zombies™ Garden Warfare 2: Deluxe Edition,discount from $29.99 to $4.79 (84%),"16 May, 2022",https://store.steampowered.com/app/1922560/Plants_vs_Zombies_Garden_Warfare_2_Deluxe_Edition/?snr=1_7_7_151_150_9
Omega Strikers,Free To Play,"27 Apr, 2023",https://store.steampowered.com/app/1869590/Omega_Strikers/?snr=1_7_7_151_150_9
Crusader Kings III: Legacy of Persia,none,Coming soon,https://store.steampowered.com/app/2313540/Crusader_Kings_III_Legacy_of_Persia/?snr=1_7_7_151_150_9
BattleBit Remastered,Free,June 2023,https://store.steampowered.com/app/671860/BattleBit_Remastered/?snr=1_7_7_151_150_9
The Jackbox Party Pack 9,discount from $14.49 to $9.41 (35%),"19 Oct, 2022",https://store.steampowered.com/app/1850960/The_Jackbox_Party_Pack_9/?snr=1_7_7_151_150_9
GWENT: The Witcher Card Game,Free To Play,"19 May, 2020",https://store.steampowered.com/app/1284410/GWENT_The_Witcher_Card_Game/?snr=1_7_7_151_150_9
Vampire Survivors,$3.49,"20 Oct, 2022",https://store.steampowered.com/app/1794680/Vampire_Survivors/?snr=1_7_7_151_150_9
Forza Horizon 4,$27.99,"9 Mar, 2021",https://store.steampowered.com/app/1293830/Forza_Horizon_4/?snr=1_7_7_151_150_9
Skater XL - The Ultimate Skateboarding Game,$18.49,"28 Jul, 2020",https://store.steampowered.com/app/962730/Skater_XL__The_Ultimate_Skateboarding_Game/?snr=1_7_7_151_150_9
Tap Ninja - Idle game,Free To Play,"17 Mar, 2022",https://store.steampowered.com/app/1891700/Tap_Ninja__Idle_game/?snr=1_7_7_151_150_9
OCTOPATH TRAVELER II,$49.99,"24 Feb, 2023",https://store.steampowered.com/app/1971650/OCTOPATH_TRAVELER_II/?snr=1_7_7_151_150_9
Timberborn,discount from $12.49 to $9.99 (20%),"15 Sep, 2021",https://store.steampowered.com/app/1062090/Timberborn/?snr=1_7_7_151_150_9
GROUND BRANCH,$14.49,"14 Aug, 2018",https://store.steampowered.com/app/16900/GROUND_BRANCH/?snr=1_7_7_151_150_9
Inkbound,$10.49,"22 May, 2023",https://store.steampowered.com/app/1062810/Inkbound/?snr=1_7_7_151_150_9
Car Mechanic Simulator 2021,$12.49,"11 Aug, 2021",https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_151_150_9
Crab Game,Free,"29 Oct, 2021",https://store.steampowered.com/app/1782210/Crab_Game/?snr=1_7_7_151_150_9
Station to Station,none,2023,https://store.steampowered.com/app/2272400/Station_to_Station/?snr=1_7_7_151_150_9
The Witcher® 3: Wild Hunt,$19.99,"18 May, 2015",https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/?snr=1_7_7_151_150_9
GameCreator,$39.99,"26 Oct, 2022",https://store.steampowered.com/app/1570130/GameCreator/?snr=1_7_7_151_150_9
RuneScape ®,Free To Play,"14 Oct, 2020",https://store.steampowered.com/app/1343400/RuneScape/?snr=1_7_7_151_150_9
Call of Duty®: Black Ops Cold War,$59.99,"8 Mar, 2023",https://store.steampowered.com/app/1985810/Call_of_Duty_Black_Ops_Cold_War/?snr=1_7_7_151_150_9
"Warhammer 40,000: Inquisitor - Martyr",discount from $22.99 to $4.59 (80%),"5 Jun, 2018",https://store.steampowered.com/app/527430/Warhammer_40000_Inquisitor__Martyr/?snr=1_7_7_151_150_9
Eternal Card Game,Free To Play,"15 Nov, 2018",https://store.steampowered.com/app/531640/Eternal_Card_Game/?snr=1_7_7_151_150_9
GameMaker,Free To Play,"4 May, 2022",https://store.steampowered.com/app/1670460/GameMaker/?snr=1_7_7_151_150_9
