title,price,release,link
Sea of Thieves 2023 Edition,$18.49,"3 Jun, 2020",https://store.steampowered.com/app/1172620/Sea_of_Thieves_2023_Edition/?snr=1_7_7_151_150_2
Game of Thrones Winter is Coming,Free To Play,"14 Nov, 2019",https://store.steampowered.com/app/1105420/Game_of_Thrones_Winter_is_Coming/?snr=1_7_7_151_150_2
Project Zomboid,$10.49,"8 Nov, 2013",https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_151_150_2
Untitled Goose Game,$10.49,"23 Sep, 2020",https://store.steampowered.com/app/837470/Untitled_Goose_Game/?snr=1_7_7_151_150_2
Wallpaper Engine,$2.79,Nov 2018,https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_151_150_2
"Warhammer 40,000: Rogue Trader",none,Coming soon,https://store.steampowered.com/app/2186680/Warhammer_40000_Rogue_Trader/?snr=1_7_7_151_150_2
World of Warships,Free to Play,"15 Nov, 2017",https://store.steampowered.com/app/552990/World_of_Warships/?snr=1_7_7_151_150_2
Solarpunk - cozy survival craft game,none,Coming soon,https://store.steampowered.com/app/1805110/Solarpunk__cozy_survival_craft_game/?snr=1_7_7_151_150_3
For The King II,none,2023,https://store.steampowered.com/app/1676840/For_The_King_II/?snr=1_7_7_151_150_3
Gunfire Reborn - Artisan and Magician,none,"31 May, 2023",https://store.steampowered.com/app/2430400/Gunfire_Reborn__Artisan_and_Magician/?snr=1_7_7_151_150_3
RimWorld,$16.49,"17 Oct, 2018",https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_151_150_3
"Warhammer 40,000: Speed Freeks",Free To Play,Coming soon,https://store.steampowered.com/app/2078450/Warhammer_40000_Speed_Freeks/?snr=1_7_7_151_150_3
DREDGE,$12.49,"30 Mar, 2023",https://store.steampowered.com/app/1562430/DREDGE/?snr=1_7_7_151_150_3
Euro Truck Simulator 2,$11.99,"12 Oct, 2012",https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_151_150_3
Squad,discount from $22.99 to $17.24 (25%),"23 Sep, 2020",https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_151_150_3
STAR WARS™: The Old Republic™,Free To Play,"21 Jul, 2020",https://store.steampowered.com/app/1286830/STAR_WARS_The_Old_Republic/?snr=1_7_7_151_150_3
Age of Empires II: Definitive Edition,$19.99,"14 Nov, 2019",https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_151_150_3
Microsoft Flight Simulator 40th Anniversary Edition  VR Supported,$59.99,"17 Aug, 2020",https://store.steampowered.com/app/1250410/Microsoft_Flight_Simulator_40th_Anniversary_Edition/?snr=1_7_7_151_150_3
Call of Duty®: Black Ops III,$31.99,"5 Nov, 2015",https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/?snr=1_7_7_151_150_3
Warhammer Age of Sigmar: Realms of Ruin,none,Coming soon,https://store.steampowered.com/app/1844380/Warhammer_Age_of_Sigmar_Realms_of_Ruin/?snr=1_7_7_151_150_3
Divinity: Original Sin 2 - Definitive Edition,discount from $24.99 to $9.99 (60%),"14 Sep, 2017",https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_151_150_3
Demonologist,$10.00,"27 Mar, 2023",https://store.steampowered.com/app/1929610/Demonologist/?snr=1_7_7_151_150_3
Stick Fight: The Game,$2.99,"28 Sep, 2017",https://store.steampowered.com/app/674940/Stick_Fight_The_Game/?snr=1_7_7_151_150_3
Battlefield™ 2042,discount from $59.99 to $14.99 (75%),"19 Nov, 2021",https://store.steampowered.com/app/1517290/Battlefield_2042/?snr=1_7_7_151_150_3
Borderlands Game of the Year,discount from $19.99 to $6.59 (67%),"26 Oct, 2009",https://store.steampowered.com/app/8980/Borderlands_Game_of_the_Year/?snr=1_7_7_151_150_3
Need for Speed™ Unbound,discount from $69.99 to $20.99 (70%),"1 Dec, 2022",https://store.steampowered.com/app/1846380/Need_for_Speed_Unbound/?snr=1_7_7_151_150_3
Mass Effect™ Legendary Edition,discount from $59.99 to $14.99 (75%),"14 May, 2021",https://store.steampowered.com/app/1328670/Mass_Effect_Legendary_Edition/?snr=1_7_7_151_150_3
Jurassic World Evolution 2,discount from $27.99 to $6.99 (75%),"9 Nov, 2021",https://store.steampowered.com/app/1244460/Jurassic_World_Evolution_2/?snr=1_7_7_151_150_3
Evil Dead: The Game,$16.49,"26 Apr, 2023",https://store.steampowered.com/app/1493750/Evil_Dead_The_Game/?snr=1_7_7_151_150_3
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,$19.99,"16 Jun, 2009",https://store.steampowered.com/app/900883/The_Elder_Scrolls_IV_Oblivion_Game_of_the_Year_Edition_Deluxe/?snr=1_7_7_151_150_3
ARK: Survival Evolved,$10.49,"27 Aug, 2017",https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_151_150_3
"Warhammer 40,000: Space Marine 2",none,2023,https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2/?snr=1_7_7_151_150_3
F1® 23  VR Supported,$69.99,"15 Jun, 2023",https://store.steampowered.com/app/2108330/F1_23/?snr=1_7_7_151_150_4
HoloCure - Save the Fans!,Free,To be announced,https://store.steampowered.com/app/2420510/HoloCure__Save_the_Fans/?snr=1_7_7_151_150_4
BeamNG.drive,$12.49,"29 May, 2015",https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_151_150_4
MONSTER HUNTER RISE,$39.99,"12 Jan, 2022",https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_151_150_4
World of Tanks Blitz,Free to Play,"9 Nov, 2016",https://store.steampowered.com/app/444200/World_of_Tanks_Blitz/?snr=1_7_7_151_150_4
Grounded,$18.49,"27 Sep, 2022",https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_151_150_4
Don't Starve Together,$8.49,"21 Apr, 2016",https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_151_150_4
Enshrouded,none,2023,https://store.steampowered.com/app/1203620/Enshrouded/?snr=1_7_7_151_150_4
Hell Let Loose,$24.99,"27 Jul, 2021",https://store.steampowered.com/app/686810/Hell_Let_Loose/?snr=1_7_7_151_150_4
Terraria,$6.99,"16 May, 2011",https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_151_150_4
Call of Duty®: Modern Warfare® II - BlackCell (Season 03),$29.99,"12 Apr, 2023",https://store.steampowered.com/app/2228970/Call_of_Duty_Modern_Warfare_II__BlackCell_Season_03/?snr=1_7_7_151_150_4
The Last of Us™ Part I,$49.99,"28 Mar, 2023",https://store.steampowered.com/app/1888930/The_Last_of_Us_Part_I/?snr=1_7_7_151_150_4
Dead Space,discount from $59.99 to $47.99 (20%),"27 Jan, 2023",https://store.steampowered.com/app/1693980/Dead_Space/?snr=1_7_7_151_150_4
GUILTY GEAR -STRIVE-,$18.49,"11 Jun, 2021",https://store.steampowered.com/app/1384160/GUILTY_GEAR_STRIVE/?snr=1_7_7_151_150_4
Total War: WARHAMMER,discount from $46.99 to $11.74 (75%),"24 May, 2016",https://store.steampowered.com/app/364360/Total_War_WARHAMMER/?snr=1_7_7_151_150_4
Football Manager 2023,$39.99,"7 Nov, 2022",https://store.steampowered.com/app/1904540/Football_Manager_2023/?snr=1_7_7_151_150_4
"Warhammer 40,000: Darktide",discount from $29.99 to $20.99 (30%),"30 Nov, 2022",https://store.steampowered.com/app/1361210/Warhammer_40000_Darktide/?snr=1_7_7_151_150_4
